standard_id,source_file,source_sheet,source_row,source_type,query,expected_tier,expected_tier_name,expected_factor_name,expected_factor_value,expected_factor_unit,expected_factor_source,expected_scope3_category,expected_lifecycle_boundary,expected_lifecycle_stage,expected_quality_decision,expected_review_note
RB-00011,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,12,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00012,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,13,procurement_workbook,高壓反應釜 SUS316L / 5000L,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,Category 2 (Capital Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00013,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,14,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00014,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,15,procurement_workbook,高壓反應釜 SUS316L / 5000L,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,Category 2 (Capital Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00015,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,16,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00016,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,17,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00017,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,18,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00018,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,19,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00019,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,20,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00020,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,21,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00021,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,22,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00022,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,23,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00023,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,24,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00024,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,25,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00025,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,26,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00026,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,27,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00027,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,28,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00028,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,29,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00029,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,30,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00030,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,31,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00031,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,32,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00032,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,33,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00033,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,34,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00034,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,35,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00035,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,36,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00036,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,37,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00037,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,38,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00038,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,39,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00039,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,40,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00040,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,41,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00041,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,42,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00042,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,43,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00043,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,44,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00044,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,45,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00045,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,46,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00046,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,47,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00047,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,48,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00048,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,49,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00049,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,50,procurement_workbook,工業級催化劑 Platinum Based / Powder,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00050,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,51,procurement_workbook,ABS 樹脂顆粒 Injection Grade / High Impact,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,Category 1 (Purchased Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00051,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,52,procurement_workbook,環氧樹脂 (Epoxy) E-44 Low Viscosity,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
RB-00052,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,53,procurement_workbook,乙烯單體 (Ethylene) 99.9% Purity,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg,Idemat,Category 1 (Purchased Goods),,,,此為國際平均值，實際情況可能因地區而異
