description,ghg_category,scenario,industry,item_type,amount,language
工業用 CNC 機床 (9257 台) 含安裝,2,equipment,Manufacturing,Machinery,35554115.42,zh
再生能源設施建設 (2771 MW),2,equipment,Energy,Power Generation,99084705.52,zh
購買 銅線 8715 kg 供生產使用,1,raw_materials,Manufacturing,Metal,1363050.13,zh
事業廢棄物清運處理 (annual),5,waste,Environmental Services,Waste Disposal,1321212.35,zh
倉庫設施用電 (quarterly),3,energy,Utilities,Electricity,1457542.34,zh
配送中心建築合約 (區域辦公室),2,equipment,Real Estate,Building,456899248.27,zh
購買工業用 氫氧化鈉 737 liters,1,raw_materials,Manufacturing,Chemical,1336974.09,zh
永續諮詢服務 (6 months),1,services,Professional Services,Consulting,481124.59,zh
8984 名員工通勤補貼,7,commute,HR Services,Commute Allowance,654296.12,zh
雲端 管理服務 - 6 months合約,1,services,IT Services,Software,564969.74,zh
購買 不鏽鋼 3921 kg 供生產使用,1,raw_materials,Manufacturing,Metal,2596478.54,zh
冷凍倉儲租賃 (4854 立方公尺),4,logistics,Logistics,Warehousing,126641.0,zh
electronics自動化組裝線,2,equipment,Manufacturing,Production Line,41618864.58,zh
採購 甲苯 溶劑 470 liters,1,raw_materials,Manufacturing,Chemical,406835.72,zh
完整 electronics生產線安裝,2,equipment,Manufacturing,Production Line,37661017.24,zh
採購 6529 個 電容用於組裝,1,raw_materials,Electronics,Electronic Components,5968338.26,zh
有害廢棄物處理合約 (1050 噸),5,waste,Environmental Services,Waste Disposal,267038.1,zh
倉儲服務 (485 平方公尺，quarterly),4,logistics,Logistics,Warehousing,768173.16,zh
管理專業服務合約,1,services,Professional Services,Consulting,1013805.25,zh
永續運輸服務 - 東西,4,logistics,Logistics,Freight,1657386.21,zh
購買 PCB 電路板 元件 949 個,1,raw_materials,Electronics,Electronic Components,4815143.6,zh
完整 electronics生產線安裝,2,equipment,Manufacturing,Production Line,83602640.14,zh
總部一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,1477281.18,zh
分公司液化石油氣供應 (6 months),3,energy,Utilities,Fuel,2887068.51,zh
有害廢棄物處理合約 (9875 噸),5,waste,Environmental Services,Waste Disposal,478236.73,zh
天然氣供應合約 (395 立方公尺),3,energy,Utilities,Fuel,2194937.84,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1101888.89,zh
市區區域配送月度運輸服務,4,logistics,Logistics,Freight,3030820.93,zh
永續諮詢服務 (6 months),1,services,Professional Services,Consulting,1702405.05,zh
事業廢棄物清運處理 (annual),5,waste,Environmental Services,Waste Disposal,644228.59,zh
車隊採購 - 9332 輛 載貨車輛,2,equipment,Transportation,Vehicle,5797187.61,zh
共同工作空間會員 (9904 個座位),8,leased_assets,Real Estate,Office Lease,938339.84,zh
國際航空差旅 (跨境，6 months),6,travel,Business Services,Air Travel,838277.97,zh
太陽能板安裝 (容量 7657 kW),2,equipment,Energy,Power Generation,136906303.12,zh
倉儲服務 (9013 平方公尺，12 months),4,logistics,Logistics,Warehousing,1959591.45,zh
IT專業服務合約,1,services,Professional Services,Consulting,60933.87,zh
總部第三方倉儲 - 2609 坪,4,logistics,Logistics,Warehousing,384831.52,zh
東西區域配送月度運輸服務,4,logistics,Logistics,Freight,47146.04,zh
採購 7904 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2920854.99,zh
汽油採購供車隊使用 (9403 公升),3,energy,Utilities,Fuel,2891927.72,zh
再生能源設施建設 (7023 MW),2,equipment,Energy,Power Generation,43013949.3,zh
automotive parts自動化組裝線,2,equipment,Manufacturing,Production Line,73254473.39,zh
採購 164 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2640816.6,zh
資源回收處理服務合約 (quarterly),5,waste,Environmental Services,Waste Disposal,335238.24,zh
完整 automotive parts生產線安裝,2,equipment,Manufacturing,Production Line,79690148.12,zh
雲端 IT服務 - annual合約,1,services,IT Services,Software,264830.47,zh
企業住宿合約 - 首爾,6,travel,Business Services,Accommodation,401734.69,zh
採購 2892 kg 不鏽鋼用於製造,1,raw_materials,Manufacturing,Metal,1086866.09,zh
堆高機採購 (industrial grade),2,equipment,Transportation,Vehicle,6931765.66,zh
跨境區域配送月度運輸服務,4,logistics,Logistics,Freight,1125356.39,zh
工廠第三方倉儲 - 9651 坪,4,logistics,Logistics,Warehousing,1159343.12,zh
工廠一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,79927.5,zh
冷凍倉儲租賃 (2054 立方公尺),4,logistics,Logistics,Warehousing,2695422.31,zh
商務艙機票至新加坡,6,travel,Business Services,Air Travel,816105.76,zh
購買有機 大豆 3336 tons,1,raw_materials,Food & Beverage,Agricultural,2633056.16,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,233515.24,zh
有害廢棄物處理合約 (2906 噸),5,waste,Environmental Services,Waste Disposal,351806.17,zh
物流服務合約 - 東西線 (6 months),4,logistics,Logistics,Freight,752338.71,zh
事業廢棄物清運處理 (6 months),5,waste,Environmental Services,Waste Disposal,538069.59,zh
購買 微晶片 元件 782 個,1,raw_materials,Electronics,Electronic Components,2496455.15,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,309080.0,zh
商務差旅租車服務 (quarterly),6,travel,Business Services,Ground Transportation,124819.28,zh
機場接駁服務合約,6,travel,Business Services,Ground Transportation,13540.59,zh
購買 電容 元件 3123 個,1,raw_materials,Electronics,Electronic Components,4247584.95,zh
天然氣供應合約 (198 立方公尺),3,energy,Utilities,Fuel,1260515.42,zh
冷凍倉儲租賃 (4999 立方公尺),4,logistics,Logistics,Warehousing,221785.87,zh
8727 名員工通勤補貼,7,commute,HR Services,Commute Allowance,198466.98,zh
採購 包裝機用於生產設施,2,equipment,Manufacturing,Machinery,29346432.84,zh
完整 consumer goods生產線安裝,2,equipment,Manufacturing,Production Line,18354023.26,zh
採購 7791 個 電阻用於組裝,1,raw_materials,Electronics,Electronic Components,6886858.3,zh
採購電力 8830 度（地方公用事業）,3,energy,Utilities,Electricity,942373.76,zh
採購 9735 kg 鋁合金用於製造,1,raw_materials,Manufacturing,Metal,4701922.07,zh
IT 基礎設施升級 - 機械手臂 (235 台),2,equipment,IT Infrastructure,Hardware,331991.79,zh
購買工業用 乙醇 608 liters,1,raw_materials,Manufacturing,Chemical,414487.74,zh
採購 乙醇 溶劑 7551 liters,1,raw_materials,Manufacturing,Chemical,203162.0,zh
聘請 永續顧問 (24 個月),1,services,Professional Services,Consulting,1322824.62,zh
購買 鋁合金 1697 kg 供生產使用,1,raw_materials,Manufacturing,Metal,3393445.05,zh
車隊採購 - 2660 輛 載貨車輛,2,equipment,Transportation,Vehicle,24399750.64,zh
財務運輸服務 - 市區,4,logistics,Logistics,Freight,2255245.35,zh
機械手臂發電系統 - 2820 MW,2,equipment,Energy,Power Generation,175301513.98,zh
機場接駁服務合約,6,travel,Business Services,Ground Transportation,339089.71,zh
太陽能板安裝 (容量 2242 kW),2,equipment,Energy,Power Generation,180736337.28,zh
購買 鋼板 2870 kg 供生產使用,1,raw_materials,Manufacturing,Metal,3858726.06,zh
分公司設施用電 (annual),3,energy,Utilities,Electricity,2301886.07,zh
車隊採購 - 7000 輛 載貨車輛,2,equipment,Transportation,Vehicle,11424341.11,zh
CRM軟體訂閱 (8581 授權，6 months),1,services,IT Services,Software,790330.77,zh
事業廢棄物清運處理 (quarterly),5,waste,Environmental Services,Waste Disposal,1256646.25,zh
研發部門商務旅遊套裝 (12 months),6,travel,Business Services,Air Travel,95905.3,zh
完整 automotive parts生產線安裝,2,equipment,Manufacturing,Production Line,98315700.52,zh
汽油採購供車隊使用 (7384 公升),3,energy,Utilities,Fuel,272729.62,zh
採購 3220 kg 鋼板用於製造,1,raw_materials,Manufacturing,Metal,4889612.61,zh
聘請 永續顧問 (6 個月),1,services,Professional Services,Consulting,274277.25,zh
分公司第三方倉儲 - 8770 坪,4,logistics,Logistics,Warehousing,363653.43,zh
雲端 管理服務 - quarterly合約,1,services,IT Services,Software,656443.88,zh
購置 包裝機 (industrial grade),2,equipment,IT Infrastructure,Hardware,5250662.56,zh
汽油採購供車隊使用 (6177 公升),3,energy,Utilities,Fuel,2873351.95,zh
購買工業用 氫氧化鈉 4910 liters,1,raw_materials,Manufacturing,Chemical,1354616.41,zh
商務差旅租車服務 (12 months),6,travel,Business Services,Ground Transportation,62733.86,zh
國際航空差旅 (東西，annual),6,travel,Business Services,Air Travel,1720649.86,zh
辦公大樓建築合約 (總部),2,equipment,Real Estate,Building,498940210.77,zh
採購 1406 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,4851019.95,zh
購置 射出成型機 - industrial grade,2,equipment,Manufacturing,Machinery,13615985.99,zh
總部設施用電 (6 months),3,energy,Utilities,Electricity,3176926.98,zh
工廠倉庫租賃 (1605 平方公尺),8,leased_assets,Real Estate,Office Lease,9188945.16,zh
公司交通車服務 (6 months),7,commute,HR Services,Shuttle Service,524854.87,zh
事業廢棄物清運處理 (6 months),5,waste,Environmental Services,Waste Disposal,1273568.24,zh
分公司第三方倉儲 - 5620 坪,4,logistics,Logistics,Warehousing,2174573.37,zh
電力供應合約 (6 months，9936 kWh),3,energy,Utilities,Electricity,3228067.15,zh
管理專業服務合約,1,services,Professional Services,Consulting,1247993.06,zh
事業廢棄物清運處理 (annual),5,waste,Environmental Services,Waste Disposal,1121321.4,zh
consumer goods自動化組裝線,2,equipment,Manufacturing,Production Line,6113579.41,zh
市區區域配送月度運輸服務,4,logistics,Logistics,Freight,3445603.2,zh
購買 不鏽鋼 2916 kg 供生產使用,1,raw_materials,Manufacturing,Metal,1163244.58,zh
區域辦公室大樓管理服務 (32 個月),1,services,Facility Management,Maintenance,612697.23,zh
倉庫液化石油氣供應 (annual),3,energy,Utilities,Fuel,2203237.7,zh
購買 鋁合金 8363 kg 供生產使用,1,raw_materials,Manufacturing,Metal,4860244.6,zh
購買 電容 元件 9079 個,1,raw_materials,Electronics,Electronic Components,2495035.02,zh
資源回收處理服務合約 (quarterly),5,waste,Environmental Services,Waste Disposal,1047366.9,zh
車隊採購 - 3980 輛 電動廂型車,2,equipment,Transportation,Vehicle,21939599.19,zh
採購 硫酸 溶劑 4140 liters,1,raw_materials,Manufacturing,Chemical,1407191.48,zh
總部設施用電 (quarterly),3,energy,Utilities,Electricity,1597047.39,zh
購買 不鏽鋼 2636 kg 供生產使用,1,raw_materials,Manufacturing,Metal,2042923.23,zh
分公司大樓管理服務 (16 個月),1,services,Facility Management,Maintenance,894447.93,zh
購買 鈦金屬 1133 kg 供生產使用,1,raw_materials,Manufacturing,Metal,2450468.44,zh
倉庫一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,780595.57,zh
雲端 財務服務 - 12 months合約,1,services,IT Services,Software,835446.75,zh
事業廢棄物清運處理 (annual),5,waste,Environmental Services,Waste Disposal,33660.71,zh
購買有機 小麥 2140 tons,1,raw_materials,Food & Beverage,Agricultural,645819.56,zh
購置 包裝機 - industrial grade,2,equipment,Manufacturing,Machinery,38591056.27,zh
鋼板原料採購 - 5328 kg,1,raw_materials,Manufacturing,Metal,4864673.98,zh
採購電力 1632 度（再生能源供應商）,3,energy,Utilities,Electricity,4058280.37,zh
公司交通車服務 (quarterly),7,commute,HR Services,Shuttle Service,977919.86,zh
倉儲服務 (8831 平方公尺，12 months),4,logistics,Logistics,Warehousing,1737879.23,zh
有害廢棄物處理合約 (7886 噸),5,waste,Environmental Services,Waste Disposal,979236.3,zh
電力供應合約 (6 months，2022 kWh),3,energy,Utilities,Electricity,438240.41,zh
Collaboration軟體訂閱 (427 授權，quarterly),1,services,IT Services,Software,585746.46,zh
員工商務差旅 (9562 趟，舊金山),6,travel,Business Services,Air Travel,51682.49,zh
電力供應合約 (6 months，8189 kWh),3,energy,Utilities,Electricity,4695399.7,zh
採購 7964 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,1733349.03,zh
公司交通車服務 (12 months),7,commute,HR Services,Shuttle Service,1257463.83,zh
商務差旅住宿預訂 (9434 晚),6,travel,Business Services,Accommodation,553900.46,zh
法律諮詢服務 (6 months),1,services,Professional Services,Consulting,78556.5,zh
再生能源電力採購 (2216 MWh),3,energy,Utilities,Electricity,2086333.85,zh
購置 包裝機 (industrial grade),2,equipment,IT Infrastructure,Hardware,4910852.43,zh
汽油採購供車隊使用 (9544 公升),3,energy,Utilities,Fuel,789291.07,zh
工業用 輸送系統 (9286 台) 含安裝,2,equipment,Manufacturing,Machinery,11548674.45,zh
倉庫一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,1162572.81,zh
汽油採購供車隊使用 (8311 公升),3,energy,Utilities,Fuel,1558853.65,zh
購置 射出成型機 (industrial grade),2,equipment,IT Infrastructure,Hardware,6410765.49,zh
商務差旅住宿預訂 (6836 晚),6,travel,Business Services,Accommodation,249014.59,zh
工廠設施用電 (annual),3,energy,Utilities,Electricity,4731506.36,zh
辦公大樓建築合約 (分公司),2,equipment,Real Estate,Building,409054435.27,zh
購買 7882 輛 電動廂型車用於物流運營,2,equipment,Transportation,Vehicle,9739536.62,zh
辦公室租賃 (29162 坪，區域辦公室),8,leased_assets,Real Estate,Office Lease,895210.16,zh
區域辦公室一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,274277.53,zh
電力供應合約 (quarterly，7839 kWh),3,energy,Utilities,Electricity,692334.24,zh
天然氣供應合約 (4276 立方公尺),3,energy,Utilities,Fuel,2938398.57,zh
購買有機 大豆 2076 tons,1,raw_materials,Food & Beverage,Agricultural,746413.13,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,607116.29,zh
區域辦公室設施用電 (annual),3,energy,Utilities,Electricity,4942507.18,zh
購買 LED 模組 元件 3658 個,1,raw_materials,Electronics,Electronic Components,1275091.34,zh
購買 鈦金屬 8927 kg 供生產使用,1,raw_materials,Manufacturing,Metal,658078.24,zh
Analytics SaaS 訂閱 (6201 使用者),1,services,IT Services,Software,156824.89,zh
天然氣供應合約 (1365 立方公尺),3,energy,Utilities,Fuel,1112244.93,zh
consumer goods製造產線 (產能 5019 件/日),2,equipment,Manufacturing,Production Line,15619290.8,zh
購買 LED 模組 元件 3998 個,1,raw_materials,Electronics,Electronic Components,1967262.16,zh
永續運輸服務 - 區域,4,logistics,Logistics,Freight,2003653.4,zh
商務艙機票至舊金山,6,travel,Business Services,Air Travel,1826228.82,zh
購買 微晶片 元件 802 個,1,raw_materials,Electronics,Electronic Components,2327581.3,zh
購買工業用 乙醇 8006 liters,1,raw_materials,Manufacturing,Chemical,1553506.17,zh
購買 9166 輛 電動廂型車用於物流運營,2,equipment,Transportation,Vehicle,2003949.38,zh
採購 3874 kg 鋁合金用於製造,1,raw_materials,Manufacturing,Metal,3597271.31,zh
購買 不鏽鋼 8315 kg 供生產使用,1,raw_materials,Manufacturing,Metal,1593926.41,zh
區域辦公室第三方倉儲 - 4493 坪,4,logistics,Logistics,Warehousing,2836557.71,zh
區域辦公室液化石油氣供應 (annual),3,energy,Utilities,Fuel,502378.61,zh
採購 射出成型機用於生產設施,2,equipment,Manufacturing,Machinery,32841412.56,zh
財務專業服務合約,1,services,Professional Services,Consulting,352487.63,zh
國際航空差旅 (南北，quarterly),6,travel,Business Services,Air Travel,167637.21,zh
採購 8662 kg 鋁合金用於製造,1,raw_materials,Manufacturing,Metal,1393402.41,zh
購買有機 糖 6780 tons,1,raw_materials,Food & Beverage,Agricultural,1299976.78,zh
永續諮詢服務 (quarterly),1,services,Professional Services,Consulting,1511463.98,zh
再生能源設施建設 (4732 MW),2,equipment,Energy,Power Generation,79018132.81,zh
研發部門住宿費用 (6 months),6,travel,Business Services,Accommodation,284987.9,zh
電力供應合約 (quarterly，7186 kWh),3,energy,Utilities,Electricity,1072561.23,zh
採購 4234 tons 稻米作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2531684.21,zh
設施維護服務 (quarterly),1,services,Facility Management,Maintenance,599432.08,zh
汽油採購供車隊使用 (5935 公升),3,energy,Utilities,Fuel,1918737.28,zh
IT 基礎設施升級 - 機械手臂 (3818 台),2,equipment,IT Infrastructure,Hardware,3565656.81,zh
購買工業用 甲苯 1356 liters,1,raw_materials,Manufacturing,Chemical,120545.14,zh
採購 5274 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,230840.96,zh
汽油採購供車隊使用 (3188 公升),3,energy,Utilities,Fuel,744799.25,zh
員工商務差旅 (3150 趟，舊金山),6,travel,Business Services,Air Travel,485656.17,zh
大眾運輸月票計畫 (6 months),7,commute,HR Services,Commute Allowance,950403.7,zh
採購 2372 kg 銅線用於製造,1,raw_materials,Manufacturing,Metal,3558952.52,zh
採購 9078 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,2938087.15,zh
資源回收處理服務合約 (12 months),5,waste,Environmental Services,Waste Disposal,1069969.33,zh
IT諮詢服務 (12 months),1,services,Professional Services,Consulting,1416283.34,zh
員工停車費報支 (quarterly),7,commute,HR Services,Commute Allowance,679580.65,zh
購買工業用 氫氧化鈉 8025 liters,1,raw_materials,Manufacturing,Chemical,493423.62,zh
事業廢棄物清運處理 (6 months),5,waste,Environmental Services,Waste Disposal,592301.12,zh
冷凍倉儲租賃 (5126 立方公尺),4,logistics,Logistics,Warehousing,1453129.16,zh
企業住宿合約 - 倫敦,6,travel,Business Services,Accommodation,671263.47,zh
鋁合金原料採購 - 8583 kg,1,raw_materials,Manufacturing,Metal,814217.17,zh
堆高機採購 (industrial grade),2,equipment,Transportation,Vehicle,6788412.68,zh
車隊採購 - 1503 輛 貨車,2,equipment,Transportation,Vehicle,16099033.01,zh
總部液化石油氣供應 (quarterly),3,energy,Utilities,Fuel,2955328.87,zh
財務諮詢服務 (12 months),1,services,Professional Services,Consulting,904043.3,zh
electronics製造產線 (產能 218 件/日),2,equipment,Manufacturing,Production Line,15324990.99,zh
市區區域配送月度運輸服務,4,logistics,Logistics,Freight,2244048.19,zh
Collaboration SaaS 訂閱 (8761 使用者),1,services,IT Services,Software,210704.23,zh
製造廠建築合約 (倉庫),2,equipment,Real Estate,Building,271788806.99,zh
電力供應合約 (6 months，2864 kWh),3,energy,Utilities,Electricity,4301513.42,zh
設施維護服務 (12 months),1,services,Facility Management,Maintenance,655070.67,zh
包裝機發電系統 - 4594 MW,2,equipment,Energy,Power Generation,184396874.62,zh
大眾運輸月票計畫 (6 months),7,commute,HR Services,Commute Allowance,1878314.28,zh
新建 配送中心開發專案,2,equipment,Real Estate,Building,395567984.0,zh
採購電力 5254 度（再生能源供應商）,3,energy,Utilities,Electricity,103076.22,zh
機械手臂發電系統 - 3655 MW,2,equipment,Energy,Power Generation,118259935.98,zh
設施維護服務 (annual),1,services,Facility Management,Maintenance,451837.21,zh
總部液化石油氣供應 (12 months),3,energy,Utilities,Fuel,430983.15,zh
雲端 IT服務 - annual合約,1,services,IT Services,Software,624580.41,zh
區域辦公室第三方倉儲 - 993 坪,4,logistics,Logistics,Warehousing,391635.14,zh
採購 8377 台 射出成型機用於資料中心,2,equipment,IT Infrastructure,Hardware,2689714.46,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1335088.48,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1175699.14,zh
商務差旅租車服務 (annual),6,travel,Business Services,Ground Transportation,130268.63,zh
天然氣供應合約 (9606 立方公尺),3,energy,Utilities,Fuel,752928.01,zh
總部大樓管理服務 (24 個月),1,services,Facility Management,Maintenance,1128181.32,zh
員工停車費報支 (12 months),7,commute,HR Services,Commute Allowance,995720.01,zh
購買 PCB 電路板 元件 2805 個,1,raw_materials,Electronics,Electronic Components,6426930.51,zh
倉儲服務 (6413 平方公尺，6 months),4,logistics,Logistics,Warehousing,1674380.81,zh
新建 製造廠開發專案,2,equipment,Real Estate,Building,190410300.16,zh
倉儲服務 (6873 平方公尺，quarterly),4,logistics,Logistics,Warehousing,133048.57,zh
採購 4492 個 微晶片用於組裝,1,raw_materials,Electronics,Electronic Components,6609628.87,zh
採購 7188 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,695376.34,zh
鋼板原料採購 - 9178 kg,1,raw_materials,Manufacturing,Metal,3289580.09,zh
購置 機械手臂 (industrial grade),2,equipment,IT Infrastructure,Hardware,2644228.79,zh
分公司設施用電 (6 months),3,energy,Utilities,Electricity,4488314.89,zh
共同工作空間會員 (9661 個座位),8,leased_assets,Real Estate,Office Lease,5378640.93,zh
購買工業用 氫氧化鈉 3779 liters,1,raw_materials,Manufacturing,Chemical,862622.08,zh
資源回收處理服務合約 (quarterly),5,waste,Environmental Services,Waste Disposal,343637.4,zh
設備租賃 (射出成型機，12 個月),8,leased_assets,Equipment Services,Equipment Lease,1515472.95,zh
分公司倉庫租賃 (35353 平方公尺),8,leased_assets,Real Estate,Office Lease,189275.43,zh
聘請 法律顧問 (13 個月),1,services,Professional Services,Consulting,935993.18,zh
IT諮詢服務 (quarterly),1,services,Professional Services,Consulting,1790111.73,zh
委外物流配送服務 (區域),4,logistics,Logistics,Freight,2553930.15,zh
採購 1848 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2139143.43,zh
員工交通津貼補助 (quarterly),7,commute,HR Services,Commute Allowance,637223.84,zh
委外物流配送服務 (跨境),4,logistics,Logistics,Freight,4444418.43,zh
雲端 IT服務 - annual合約,1,services,IT Services,Software,644024.15,zh
電力供應合約 (annual，5295 kWh),3,energy,Utilities,Electricity,270750.71,zh
再生能源電力採購 (5951 MWh),3,energy,Utilities,Electricity,1985267.83,zh
CRM SaaS 訂閱 (3270 使用者),1,services,IT Services,Software,907563.21,zh
購買有機 糖 4760 tons,1,raw_materials,Food & Beverage,Agricultural,1771900.4,zh
資源回收處理服務合約 (6 months),5,waste,Environmental Services,Waste Disposal,108957.08,zh
採購 4751 tons 糖作為食品原料,1,raw_materials,Food & Beverage,Agricultural,1406770.77,zh
鋼板原料採購 - 7337 kg,1,raw_materials,Manufacturing,Metal,4393377.72,zh
分公司設施用電 (6 months),3,energy,Utilities,Electricity,1851616.51,zh
永續運輸服務 - 市區,4,logistics,Logistics,Freight,623014.42,zh
物流服務合約 - 南北線 (6 months),4,logistics,Logistics,Freight,3404780.55,zh
資源回收處理服務合約 (annual),5,waste,Environmental Services,Waste Disposal,54139.81,zh
購買有機 糖 5134 tons,1,raw_materials,Food & Beverage,Agricultural,2863762.96,zh
倉庫大樓管理服務 (13 個月),1,services,Facility Management,Maintenance,1127888.05,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,675605.45,zh
事業廢棄物清運處理 (12 months),5,waste,Environmental Services,Waste Disposal,801819.68,zh
機場接駁服務合約,6,travel,Business Services,Ground Transportation,199050.3,zh
分公司大樓管理服務 (27 個月),1,services,Facility Management,Maintenance,981754.27,zh
購買有機 玉米 7106 tons,1,raw_materials,Food & Beverage,Agricultural,627565.87,zh
購買 鈦金屬 4726 kg 供生產使用,1,raw_materials,Manufacturing,Metal,1158229.5,zh
8337 名員工通勤補貼,7,commute,HR Services,Commute Allowance,1724757.43,zh
委外物流配送服務 (跨境),4,logistics,Logistics,Freight,1335901.72,zh
採購 射出成型機用於生產設施,2,equipment,Manufacturing,Machinery,46198438.22,zh
員工接駁車合約 - 區域,7,commute,HR Services,Shuttle Service,1048564.22,zh
汽油採購供車隊使用 (33 公升),3,energy,Utilities,Fuel,226672.99,zh
電力供應合約 (quarterly，681 kWh),3,energy,Utilities,Electricity,3165053.18,zh
採購 射出成型機用於生產設施,2,equipment,Manufacturing,Machinery,16995651.83,zh
採購 3735 個 電容用於組裝,1,raw_materials,Electronics,Electronic Components,6056779.51,zh
配送中心建築合約 (總部),2,equipment,Real Estate,Building,335709093.26,zh
資源回收處理服務合約 (12 months),5,waste,Environmental Services,Waste Disposal,393694.21,zh
倉庫設施用電 (12 months),3,energy,Utilities,Electricity,623385.03,zh
購買 258 輛 貨車用於物流運營,2,equipment,Transportation,Vehicle,13619803.91,zh
包裝機發電系統 - 5657 MW,2,equipment,Energy,Power Generation,165550342.88,zh
購買 鈦金屬 9341 kg 供生產使用,1,raw_materials,Manufacturing,Metal,3179045.54,zh
工廠第三方倉儲 - 6090 坪,4,logistics,Logistics,Warehousing,2729191.21,zh
物流服務合約 - 跨境線 (6 months),4,logistics,Logistics,Freight,3183929.89,zh
機場接駁服務合約,6,travel,Business Services,Ground Transportation,424774.82,zh
倉儲服務 (499 平方公尺，annual),4,logistics,Logistics,Warehousing,1290509.33,zh
雲端 法律服務 - 12 months合約,1,services,IT Services,Software,839503.67,zh
倉庫一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,169391.92,zh
Collaboration軟體訂閱 (6170 授權，6 months),1,services,IT Services,Software,431762.72,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,961195.08,zh
