description,ghg_category,scenario,industry,item_type,amount,language
4139 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,1566142.77,en
injection molding machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,7903595.0,en
packaging machine acquisition - industrial grade,2,equipment,Manufacturing,Machinery,577434.63,en
consumer goods manufacturing line (2004 units/day capacity),2,equipment,Manufacturing,Production Line,55886931.2,en
Automated assembly line for automotive parts,2,equipment,Manufacturing,Production Line,12174045.97,en
office building building contract (headquarters),2,equipment,Real Estate,Building,216858383.73,en
Warehouse storage service (369 sqm for 6 months),1,logistics,Logistics,Warehousing,422308.23,en
management consulting services for 6 months,1,services,Professional Services,Consulting,1385461.45,en
aluminum alloy raw material supply - 9598 kg,1,raw_materials,Manufacturing,Metal,905067.81,en
Procurement of stainless steel (4780 kg) for production line,1,raw_materials,Manufacturing,Metal,2263973.46,en
Logistics service for North-South corridor (6 months),1,logistics,Logistics,Freight,2776937.49,en
Industrial sodium hydroxide supply contract (6195 liters),1,raw_materials,Manufacturing,Chemical,1285572.21,en
financial transportation service - urban,1,logistics,Logistics,Freight,292814.15,en
3595 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,1784580.49,en
Industrial sulfuric acid supply contract (8794 liters),1,raw_materials,Manufacturing,Chemical,40209.35,en
Renewable energy facility construction (9166 MW),2,equipment,Energy,Power Generation,70119068.71,en
Industrial ethanol supply contract (5633 liters),1,raw_materials,Manufacturing,Chemical,1482459.53,en
Renewable energy facility construction (3659 MW),2,equipment,Energy,Power Generation,158842102.26,en
Procurement of copper wire (4791 kg) for production line,1,raw_materials,Manufacturing,Metal,3029746.08,en
Warehouse storage service (7949 sqm for 6 months),1,logistics,Logistics,Warehousing,261771.82,en
Industrial conveyor system (6258 units) with installation,2,equipment,Manufacturing,Machinery,44964939.64,en
Engagement of sustainability consultant (32 months),1,services,Professional Services,Consulting,1377080.99,en
cargo vehicles acquisition (industrial grade),2,equipment,Transportation,Vehicle,25324840.62,en
ERP software subscription (9208 licenses for 6 months),1,services,IT Services,Software,995968.1,en
Third-party warehousing at factory - 8015 sqm,1,logistics,Logistics,Warehousing,159815.47,en
Industrial injection molding machine (1113 units) with installation,2,equipment,Manufacturing,Machinery,45055870.25,en
Procurement of automated injection molding machine system,2,equipment,Manufacturing,Machinery,28718680.07,en
robotic arm procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,2616949.58,en
Engagement of management consultant (22 months),1,services,Professional Services,Consulting,1056447.03,en
electronics manufacturing line (1335 units/day capacity),2,equipment,Manufacturing,Production Line,43609335.51,en
Procurement of copper wire (5295 kg) for production line,1,raw_materials,Manufacturing,Metal,2085496.91,en
Automated assembly line for consumer goods,2,equipment,Manufacturing,Production Line,74940323.38,en
Fleet procurement - 5223 forklifts,2,equipment,Transportation,Vehicle,16157771.73,en
SaaS subscription for CRM (3171 users),1,services,IT Services,Software,194760.46,en
Industrial conveyor system (9443 units) with installation,2,equipment,Manufacturing,Machinery,22117233.09,en
Solar panel installation (1137 kW capacity),2,equipment,Energy,Power Generation,66552207.86,en
Monthly freight service for North-South distribution,1,logistics,Logistics,Freight,2190707.24,en
Purchase of 54 packaging machine for data center,2,equipment,IT Infrastructure,Hardware,2465370.81,en
5645 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,1324220.32,en
646 liters of ethanol for chemical processing,1,raw_materials,Manufacturing,Chemical,773739.65,en
legal transportation service - regional,1,logistics,Logistics,Freight,271270.93,en
Purchase of conveyor system for production facility,2,equipment,Manufacturing,Machinery,41352894.04,en
Cloud sustainability service - 12 months contract,1,services,IT Services,Software,380778.39,en
"Building management service (headquarters, 12 months)",1,services,Facility Management,Maintenance,950970.95,en
Industrial packaging machine (3705 units) with installation,2,equipment,Manufacturing,Machinery,8061083.13,en
Order organic sugar (6061 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,915354.17,en
legal consulting services for quarterly,1,services,Professional Services,Consulting,571371.31,en
Order 5517 kg of titanium for QQ4 production,1,raw_materials,Manufacturing,Metal,4335588.26,en
microchips component procurement (5512 pcs),1,raw_materials,Electronics,Electronic Components,3334957.26,en
Cloud financial service - 12 months contract,1,services,IT Services,Software,238848.68,en
Procurement of automated injection molding machine system,2,equipment,Manufacturing,Machinery,911696.97,en
Procurement of titanium (2151 kg) for production line,1,raw_materials,Manufacturing,Metal,4526339.07,en
Facility maintenance service for quarterly,1,services,Facility Management,Maintenance,506389.93,en
Monthly freight service for regional distribution,1,logistics,Logistics,Freight,3182191.88,en
Purchase of acetone solvent - 5610 liters,1,raw_materials,Manufacturing,Chemical,1780057.77,en
Procurement of steel sheets (3606 kg) for production line,1,raw_materials,Manufacturing,Metal,432946.99,en
cargo vehicles acquisition (industrial grade),2,equipment,Transportation,Vehicle,28751317.3,en
Third-party warehousing at warehouse - 7684 sqm,1,logistics,Logistics,Warehousing,1525283.83,en
financial transportation service - regional,1,logistics,Logistics,Freight,318366.9,en
Industrial toluene supply contract (3383 liters),1,raw_materials,Manufacturing,Chemical,578274.34,en
soybeans ingredient procurement - 5115 tons,1,raw_materials,Food & Beverage,Agricultural,1330596.21,en
Monthly freight service for North-South distribution,1,logistics,Logistics,Freight,2780495.53,en
IT transportation service - cross-border,1,logistics,Logistics,Freight,915848.36,en
Warehouse storage service (1261 sqm for 6 months),1,logistics,Logistics,Warehousing,471316.32,en
Renewable energy facility construction (236 MW),2,equipment,Energy,Power Generation,196019191.66,en
Construction of distribution center (35158 sqm),2,equipment,Real Estate,Building,270647468.16,en
Solar panel installation (8624 kW capacity),2,equipment,Energy,Power Generation,157597733.04,en
aluminum alloy raw material supply - 6834 kg,1,raw_materials,Manufacturing,Metal,1720534.47,en
Warehouse storage service (322 sqm for quarterly),1,logistics,Logistics,Warehousing,2900872.25,en
SaaS subscription for CRM (7569 users),1,services,IT Services,Software,875012.71,en
packaging machine power generation system - 1217 MW,2,equipment,Energy,Power Generation,177029157.56,en
Industrial injection molding machine (4947 units) with installation,2,equipment,Manufacturing,Machinery,15101434.23,en
Order 5165 capacitors for production batch,1,raw_materials,Electronics,Electronic Components,2905541.6,en
Purchase of CNC machine for production facility,2,equipment,Manufacturing,Machinery,34071785.7,en
Collaboration software subscription (1004 licenses for quarterly),1,services,IT Services,Software,353296.47,en
Warehouse storage service (736 sqm for annual),1,logistics,Logistics,Warehousing,616749.11,en
IT transportation service - North-South,1,logistics,Logistics,Freight,1069305.68,en
Procurement of steel sheets (2454 kg) for production line,1,raw_materials,Manufacturing,Metal,2917807.62,en
Renewable energy facility construction (3991 MW),2,equipment,Energy,Power Generation,3751667.72,en
Construction of office building (38454 sqm),2,equipment,Real Estate,Building,418347730.49,en
Purchase of sulfuric acid solvent - 1880 liters,1,raw_materials,Manufacturing,Chemical,1188205.08,en
Order organic corn (7151 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,318196.5,en
Warehouse storage service (1988 sqm for 6 months),1,logistics,Logistics,Warehousing,2376291.1,en
Purchase of acetone solvent - 9098 liters,1,raw_materials,Manufacturing,Chemical,1922897.46,en
IT consulting services for quarterly,1,services,Professional Services,Consulting,661817.57,en
IT infrastructure upgrade - CNC machine (482 units),2,equipment,IT Infrastructure,Hardware,8709656.26,en
"Building management service (warehouse, 34 months)",1,services,Facility Management,Maintenance,42941.43,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,733029.18,en
Collaboration software subscription (8737 licenses for 6 months),1,services,IT Services,Software,692968.96,en
Purchase of 4612 units of resistors for assembly,1,raw_materials,Electronics,Electronic Components,6774343.15,en
"Building management service (warehouse, 6 months)",1,services,Facility Management,Maintenance,279251.82,en
Warehouse storage service (7548 sqm for 12 months),1,logistics,Logistics,Warehousing,1028447.14,en
Purchase of 5410 forklifts for logistics operations,2,equipment,Transportation,Vehicle,15473597.76,en
Order 7041 LED modules for production batch,1,raw_materials,Electronics,Electronic Components,3219246.03,en
Purchase of 8753 forklifts for logistics operations,2,equipment,Transportation,Vehicle,12886760.98,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,173232.42,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,971653.56,en
"Building management service (factory, 31 months)",1,services,Facility Management,Maintenance,1175930.7,en
Fleet procurement - 4342 cargo vehicles,2,equipment,Transportation,Vehicle,10377783.43,en
Engagement of IT consultant (18 months),1,services,Professional Services,Consulting,350821.22,en
Engagement of legal consultant (24 months),1,services,Professional Services,Consulting,1434998.37,en
Logistics service for cross-border corridor (quarterly),1,logistics,Logistics,Freight,3641300.76,en
Renewable energy facility construction (4065 MW),2,equipment,Energy,Power Generation,184277061.52,en
Construction of distribution center (38703 sqm),2,equipment,Real Estate,Building,12279211.27,en
injection molding machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,7800036.04,en
legal transportation service - regional,1,logistics,Logistics,Freight,641635.33,en
Purchase of 4840 units of microchips for assembly,1,raw_materials,Electronics,Electronic Components,3896516.17,en
Purchase of 9318 kg of aluminum alloy for manufacturing use,1,raw_materials,Manufacturing,Metal,3157007.62,en
Professional advisory service - sustainability,1,services,Professional Services,Consulting,889709.9,en
Construction of warehouse (34358 sqm),2,equipment,Real Estate,Building,307197689.98,en
Procurement of aluminum alloy (4066 kg) for production line,1,raw_materials,Manufacturing,Metal,3292261.25,en
Purchase of 8807 kg of steel sheets for manufacturing use,1,raw_materials,Manufacturing,Metal,2543237.78,en
Order 8949 resistors for production batch,1,raw_materials,Electronics,Electronic Components,2032663.25,en
Third-party warehousing at regional office - 6198 sqm,1,logistics,Logistics,Warehousing,2280192.09,en
Cloud IT service - annual contract,1,services,IT Services,Software,867780.14,en
ERP software subscription (2350 licenses for quarterly),1,services,IT Services,Software,423399.4,en
Cloud financial service - quarterly contract,1,services,IT Services,Software,130968.16,en
Construction of office building (3940 sqm),2,equipment,Real Estate,Building,489176248.8,en
conveyor system power generation system - 5703 MW,2,equipment,Energy,Power Generation,39008537.17,en
Order organic corn (2034 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,139367.0,en
Cold storage rental (4091 cbm) for quarterly,1,logistics,Logistics,Warehousing,2575895.6,en
electric vans acquisition (industrial grade),2,equipment,Transportation,Vehicle,15769170.23,en
Facility maintenance service for quarterly,1,services,Facility Management,Maintenance,1297145.06,en
sugar ingredient procurement - 754 tons,1,raw_materials,Food & Beverage,Agricultural,820310.61,en
Monthly freight service for regional distribution,1,logistics,Logistics,Freight,2670848.05,en
aluminum alloy raw material supply - 106 kg,1,raw_materials,Manufacturing,Metal,995746.72,en
conveyor system power generation system - 5546 MW,2,equipment,Energy,Power Generation,49011801.87,en
Monthly freight service for regional distribution,1,logistics,Logistics,Freight,1917069.62,en
management transportation service - cross-border,1,logistics,Logistics,Freight,2959885.72,en
Purchase of 369 tons of corn for food production,1,raw_materials,Food & Beverage,Agricultural,2071731.25,en
SaaS subscription for Analytics (2169 users),1,services,IT Services,Software,191519.54,en
Automated assembly line for consumer goods,2,equipment,Manufacturing,Production Line,83798775.05,en
Contract for 6742 shipments via financial,1,logistics,Logistics,Freight,3051103.22,en
PCB boards component procurement (3470 pcs),1,raw_materials,Electronics,Electronic Components,6669333.31,en
Professional advisory service - financial,1,services,Professional Services,Consulting,1606207.59,en
Warehouse storage service (701 sqm for annual),1,logistics,Logistics,Warehousing,514570.66,en
ERP software subscription (8192 licenses for 12 months),1,services,IT Services,Software,748250.47,en
IT infrastructure upgrade - packaging machine (1304 units),2,equipment,IT Infrastructure,Hardware,6233634.94,en
Third-party warehousing at factory - 6052 sqm,1,logistics,Logistics,Warehousing,1034532.49,en
Purchase of 3306 units of capacitors for assembly,1,raw_materials,Electronics,Electronic Components,5799307.19,en
Facility maintenance service for 6 months,1,services,Facility Management,Maintenance,1249645.11,en
Industrial injection molding machine (5883 units) with installation,2,equipment,Manufacturing,Machinery,31175663.24,en
Purchase of 7556 units of PCB boards for assembly,1,raw_materials,Electronics,Electronic Components,4757644.02,en
