description,ghg_category,scenario,industry,item_type,amount,language
冷凍倉儲租賃 (9805 立方公尺),1,logistics,Logistics,Warehousing,1995882.14,zh
採購 4845 tons 糖作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2241705.58,zh
車隊採購 - 1364 輛 載貨車輛,2,equipment,Transportation,Vehicle,4105761.06,zh
再生能源設施建設 (7322 MW),2,equipment,Energy,Power Generation,42556574.55,zh
Collaboration SaaS 訂閱 (1937 使用者),1,services,IT Services,Software,553872.0,zh
建造 倉庫 (34358 平方公尺),2,equipment,Real Estate,Building,307197689.98,zh
倉儲服務 (1443 平方公尺，12 months),1,logistics,Logistics,Warehousing,1222277.34,zh
倉儲服務 (1537 平方公尺，12 months),1,logistics,Logistics,Warehousing,2206494.95,zh
倉儲服務 (1200 平方公尺，annual),1,logistics,Logistics,Warehousing,2388789.67,zh
區域辦公室大樓管理服務 (21 個月),1,services,Facility Management,Maintenance,1395635.11,zh
車隊採購 - 6253 輛 載貨車輛,2,equipment,Transportation,Vehicle,10833864.24,zh
購買工業用 硫酸 1933 liters,1,raw_materials,Manufacturing,Chemical,1142298.32,zh
包裝機發電系統 - 1217 MW,2,equipment,Energy,Power Generation,177029157.56,zh
雲端 管理服務 - 6 months合約,1,services,IT Services,Software,91723.14,zh
購置 射出成型機 (industrial grade),2,equipment,IT Infrastructure,Hardware,6995678.11,zh
購置 CNC 機床 - industrial grade,2,equipment,Manufacturing,Machinery,28463188.25,zh
IT 基礎設施升級 - 包裝機 (2535 台),2,equipment,IT Infrastructure,Hardware,8975914.85,zh
Security SaaS 訂閱 (9091 使用者),1,services,IT Services,Software,812857.14,zh
倉庫大樓管理服務 (31 個月),1,services,Facility Management,Maintenance,399359.25,zh
購買有機 小麥 1695 tons,1,raw_materials,Food & Beverage,Agricultural,2794030.95,zh
貨車採購 (industrial grade),2,equipment,Transportation,Vehicle,17094180.77,zh
購買 電阻 元件 4950 個,1,raw_materials,Electronics,Electronic Components,5088297.31,zh
冷凍倉儲租賃 (9626 立方公尺),1,logistics,Logistics,Warehousing,300227.85,zh
完整 electronics生產線安裝,2,equipment,Manufacturing,Production Line,20663933.34,zh
Security SaaS 訂閱 (4297 使用者),1,services,IT Services,Software,42531.2,zh
automotive parts製造產線 (產能 4261 件/日),2,equipment,Manufacturing,Production Line,98826911.05,zh
設施維護服務 (6 months),1,services,Facility Management,Maintenance,129023.25,zh
鋁合金原料採購 - 2150 kg,1,raw_materials,Manufacturing,Metal,3444325.8,zh
鋼板原料採購 - 5255 kg,1,raw_materials,Manufacturing,Metal,4672820.21,zh
管理專業服務合約,1,services,Professional Services,Consulting,1028624.24,zh
採購 6580 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,679655.98,zh
貨車採購 (industrial grade),2,equipment,Transportation,Vehicle,5498411.25,zh
載貨車輛採購 (industrial grade),2,equipment,Transportation,Vehicle,28751317.3,zh
採購 2361 個 微晶片用於組裝,1,raw_materials,Electronics,Electronic Components,893633.59,zh
太陽能板安裝 (容量 5138 kW),2,equipment,Energy,Power Generation,58125578.36,zh
東西區域配送月度運輸服務,1,logistics,Logistics,Freight,2840459.13,zh
工業用 包裝機 (4600 台) 含安裝,2,equipment,Manufacturing,Machinery,8061083.13,zh
購買 PCB 電路板 元件 2307 個,1,raw_materials,Electronics,Electronic Components,5376066.36,zh
工廠第三方倉儲 - 9052 坪,1,logistics,Logistics,Warehousing,1426834.11,zh
購買 電阻 元件 8231 個,1,raw_materials,Electronics,Electronic Components,7298311.42,zh
採購 4933 個 PCB 電路板用於組裝,1,raw_materials,Electronics,Electronic Components,6335050.78,zh
購買工業用 硫酸 8318 liters,1,raw_materials,Manufacturing,Chemical,605395.0,zh
Collaboration SaaS 訂閱 (7277 使用者),1,services,IT Services,Software,301948.77,zh
購買 鈦金屬 7837 kg 供生產使用,1,raw_materials,Manufacturing,Metal,2794784.44,zh
IT諮詢服務 (12 months),1,services,Professional Services,Consulting,1396659.96,zh
automotive parts製造產線 (產能 6623 件/日),2,equipment,Manufacturing,Production Line,28139045.23,zh
南北區域配送月度運輸服務,1,logistics,Logistics,Freight,1713030.15,zh
車隊採購 - 3752 輛 貨車,2,equipment,Transportation,Vehicle,18995535.5,zh
太陽能板安裝 (容量 5222 kW),2,equipment,Energy,Power Generation,110683181.93,zh
購買 4429 輛 載貨車輛用於物流運營,2,equipment,Transportation,Vehicle,11134297.19,zh
鋼板原料採購 - 7101 kg,1,raw_materials,Manufacturing,Metal,4580392.11,zh
IT 基礎設施升級 - 機械手臂 (1035 台),2,equipment,IT Infrastructure,Hardware,5952646.2,zh
採購 3980 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,2766031.4,zh
Analytics軟體訂閱 (563 授權，quarterly),1,services,IT Services,Software,792987.41,zh
倉儲服務 (735 平方公尺，annual),1,logistics,Logistics,Warehousing,1397243.68,zh
機械手臂發電系統 - 2226 MW,2,equipment,Energy,Power Generation,129425078.62,zh
購買工業用 丙酮 1885 liters,1,raw_materials,Manufacturing,Chemical,942051.3,zh
工業用 CNC 機床 (8571 台) 含安裝,2,equipment,Manufacturing,Machinery,13434493.29,zh
財務諮詢服務 (quarterly),1,services,Professional Services,Consulting,293924.51,zh
採購 5975 tons 糖作為食品原料,1,raw_materials,Food & Beverage,Agricultural,1925584.56,zh
購置 射出成型機 - industrial grade,2,equipment,Manufacturing,Machinery,28124615.21,zh
物流服務合約 - 南北線 (annual),1,logistics,Logistics,Freight,4229613.55,zh
IT 基礎設施升級 - 輸送系統 (9738 台),2,equipment,IT Infrastructure,Hardware,1669307.1,zh
鋼板原料採購 - 3912 kg,1,raw_materials,Manufacturing,Metal,3029746.08,zh
購置 輸送系統 - industrial grade,2,equipment,Manufacturing,Machinery,40767153.4,zh
採購 1732 kg 鋼板用於製造,1,raw_materials,Manufacturing,Metal,4736252.86,zh
太陽能板安裝 (容量 2386 kW),2,equipment,Energy,Power Generation,46071681.04,zh
購置 機械手臂 - industrial grade,2,equipment,Manufacturing,Machinery,34812215.78,zh
electronics製造產線 (產能 5280 件/日),2,equipment,Manufacturing,Production Line,53059045.93,zh
採購 8584 kg 鋁合金用於製造,1,raw_materials,Manufacturing,Metal,3985869.25,zh
製造廠建築合約 (倉庫),2,equipment,Real Estate,Building,327296194.49,zh
冷凍倉儲租賃 (2601 立方公尺),1,logistics,Logistics,Warehousing,653575.49,zh
採購 丙酮 溶劑 8582 liters,1,raw_materials,Manufacturing,Chemical,1673417.56,zh
設施維護服務 (6 months),1,services,Facility Management,Maintenance,983132.19,zh
購買有機 大豆 8524 tons,1,raw_materials,Food & Beverage,Agricultural,194083.47,zh
冷凍倉儲租賃 (684 立方公尺),1,logistics,Logistics,Warehousing,1931093.26,zh
IT 基礎設施升級 - 射出成型機 (406 台),2,equipment,IT Infrastructure,Hardware,8557088.62,zh
設施維護服務 (6 months),1,services,Facility Management,Maintenance,1249645.11,zh
法律專業服務合約,1,services,Professional Services,Consulting,1424520.96,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1458294.29,zh
設施維護服務 (12 months),1,services,Facility Management,Maintenance,1361273.2,zh
再生能源設施建設 (8819 MW),2,equipment,Energy,Power Generation,163191972.52,zh
工業用 射出成型機 (4930 台) 含安裝,2,equipment,Manufacturing,Machinery,28670710.12,zh
雲端 管理服務 - annual合約,1,services,IT Services,Software,181800.66,zh
工業用 包裝機 (9074 台) 含安裝,2,equipment,Manufacturing,Machinery,31897080.14,zh
管理專業服務合約,1,services,Professional Services,Consulting,1313195.52,zh
雲端 永續服務 - quarterly合約,1,services,IT Services,Software,992465.82,zh
貨車採購 (industrial grade),2,equipment,Transportation,Vehicle,14575526.02,zh
倉儲服務 (4954 平方公尺，6 months),1,logistics,Logistics,Warehousing,2825635.43,zh
工廠第三方倉儲 - 7436 坪,1,logistics,Logistics,Warehousing,395271.1,zh
設施維護服務 (quarterly),1,services,Facility Management,Maintenance,120284.11,zh
新建 辦公大樓開發專案,2,equipment,Real Estate,Building,281906564.59,zh
載貨車輛採購 (industrial grade),2,equipment,Transportation,Vehicle,9593614.88,zh
consumer goods製造產線 (產能 4921 件/日),2,equipment,Manufacturing,Production Line,50944840.07,zh
新建 配送中心開發專案,2,equipment,Real Estate,Building,434853319.31,zh
辦公大樓建築合約 (總部),2,equipment,Real Estate,Building,216858383.73,zh
Analytics軟體訂閱 (1488 授權，6 months),1,services,IT Services,Software,185685.27,zh
物流服務合約 - 市區線 (annual),1,logistics,Logistics,Freight,3051103.22,zh
區域辦公室大樓管理服務 (6 個月),1,services,Facility Management,Maintenance,1253457.07,zh
採購 3361 個 微晶片用於組裝,1,raw_materials,Electronics,Electronic Components,6597263.19,zh
購買工業用 硫酸 1902 liters,1,raw_materials,Manufacturing,Chemical,894321.67,zh
管理諮詢服務 (quarterly),1,services,Professional Services,Consulting,367382.79,zh
購買有機 大豆 5115 tons,1,raw_materials,Food & Beverage,Agricultural,1330596.21,zh
購買工業用 甲苯 2194 liters,1,raw_materials,Manufacturing,Chemical,1680526.46,zh
冷凍倉儲租賃 (7909 立方公尺),1,logistics,Logistics,Warehousing,2280438.98,zh
太陽能板安裝 (容量 9759 kW),2,equipment,Energy,Power Generation,62546714.99,zh
購買工業用 丙酮 2097 liters,1,raw_materials,Manufacturing,Chemical,1868180.7,zh
購置 包裝機 - industrial grade,2,equipment,Manufacturing,Machinery,36260385.31,zh
倉庫第三方倉儲 - 1373 坪,1,logistics,Logistics,Warehousing,1619105.25,zh
分公司第三方倉儲 - 888 坪,1,logistics,Logistics,Warehousing,2522077.03,zh
輸送系統發電系統 - 8791 MW,2,equipment,Energy,Power Generation,51033951.28,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1263544.32,zh
新建 製造廠開發專案,2,equipment,Real Estate,Building,164144207.18,zh
冷凍倉儲租賃 (4305 立方公尺),1,logistics,Logistics,Warehousing,917037.67,zh
財務運輸服務 - 跨境,1,logistics,Logistics,Freight,2081372.25,zh
CNC 機床發電系統 - 3114 MW,2,equipment,Energy,Power Generation,130000879.23,zh
購置 射出成型機 - industrial grade,2,equipment,Manufacturing,Machinery,17754560.35,zh
購置 機械手臂 (industrial grade),2,equipment,IT Infrastructure,Hardware,2616949.58,zh
購買工業用 氫氧化鈉 2206 liters,1,raw_materials,Manufacturing,Chemical,1900645.09,zh
車隊採購 - 6922 輛 貨車,2,equipment,Transportation,Vehicle,12667290.49,zh
購買 鋁合金 6359 kg 供生產使用,1,raw_materials,Manufacturing,Metal,3694865.66,zh
採購 射出成型機用於生產設施,2,equipment,Manufacturing,Machinery,41315430.11,zh
輸送系統發電系統 - 5546 MW,2,equipment,Energy,Power Generation,49011801.87,zh
物流服務合約 - 跨境線 (6 months),1,logistics,Logistics,Freight,475179.73,zh
採購 輸送系統用於生產設施,2,equipment,Manufacturing,Machinery,1427706.06,zh
購置 包裝機 (industrial grade),2,equipment,IT Infrastructure,Hardware,5158385.78,zh
南北區域配送月度運輸服務,1,logistics,Logistics,Freight,2190707.24,zh
車隊採購 - 9987 輛 貨車,2,equipment,Transportation,Vehicle,28047230.86,zh
購買工業用 丙酮 5645 liters,1,raw_materials,Manufacturing,Chemical,1324220.32,zh
IT專業服務合約,1,services,Professional Services,Consulting,1224191.19,zh
購買工業用 甲苯 7659 liters,1,raw_materials,Manufacturing,Chemical,641703.83,zh
製造廠建築合約 (總部),2,equipment,Real Estate,Building,375167092.68,zh
購買工業用 乙醇 3883 liters,1,raw_materials,Manufacturing,Chemical,80623.9,zh
採購 3306 個 電容用於組裝,1,raw_materials,Electronics,Electronic Components,5799307.19,zh
購置 射出成型機 (industrial grade),2,equipment,IT Infrastructure,Hardware,8925940.44,zh
Security SaaS 訂閱 (6840 使用者),1,services,IT Services,Software,42281.32,zh
ERP SaaS 訂閱 (4709 使用者),1,services,IT Services,Software,247636.37,zh
設施維護服務 (12 months),1,services,Facility Management,Maintenance,510463.33,zh
採購 1062 tons 稻米作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2828683.04,zh
分公司大樓管理服務 (28 個月),1,services,Facility Management,Maintenance,1086586.35,zh
購置 包裝機 (industrial grade),2,equipment,IT Infrastructure,Hardware,5488747.6,zh
購買 微晶片 元件 6502 個,1,raw_materials,Electronics,Electronic Components,984804.25,zh
分公司第三方倉儲 - 9380 坪,1,logistics,Logistics,Warehousing,2888338.05,zh
區域區域配送月度運輸服務,1,logistics,Logistics,Freight,3182191.88,zh
財務諮詢服務 (quarterly),1,services,Professional Services,Consulting,625071.8,zh
採購 3606 kg 鋼板用於製造,1,raw_materials,Manufacturing,Metal,432946.99,zh
建造 辦公大樓 (38454 平方公尺),2,equipment,Real Estate,Building,418347730.49,zh
冷凍倉儲租賃 (993 立方公尺),1,logistics,Logistics,Warehousing,2273742.11,zh
分公司大樓管理服務 (26 個月),1,services,Facility Management,Maintenance,256665.57,zh
購買 鋁合金 6198 kg 供生產使用,1,raw_materials,Manufacturing,Metal,1823038.18,zh
管理運輸服務 - 跨境,1,logistics,Logistics,Freight,2279156.04,zh
採購 甲苯 溶劑 8105 liters,1,raw_materials,Manufacturing,Chemical,609126.77,zh
Security軟體訂閱 (8384 授權，quarterly),1,services,IT Services,Software,778144.92,zh
倉儲服務 (7548 平方公尺，12 months),1,logistics,Logistics,Warehousing,1028447.14,zh
完整 electronics生產線安裝,2,equipment,Manufacturing,Production Line,31981286.4,zh
購置 機械手臂 - industrial grade,2,equipment,Manufacturing,Machinery,48225146.63,zh
建造 配送中心 (27813 平方公尺),2,equipment,Real Estate,Building,350644094.32,zh
採購 丙酮 溶劑 7511 liters,1,raw_materials,Manufacturing,Chemical,1043771.84,zh
購買有機 小麥 235 tons,1,raw_materials,Food & Beverage,Agricultural,1872141.64,zh
CRM SaaS 訂閱 (7569 使用者),1,services,IT Services,Software,875012.71,zh
consumer goods自動化組裝線,2,equipment,Manufacturing,Production Line,39018130.88,zh
購買 7401 輛 貨車用於物流運營,2,equipment,Transportation,Vehicle,27898994.3,zh
購買 電容 元件 3493 個,1,raw_materials,Electronics,Electronic Components,2905541.6,zh
採購 輸送系統用於生產設施,2,equipment,Manufacturing,Machinery,37844576.02,zh
法律諮詢服務 (12 months),1,services,Professional Services,Consulting,997896.87,zh
購買 LED 模組 元件 3078 個,1,raw_materials,Electronics,Electronic Components,2040397.33,zh
購買有機 小麥 5888 tons,1,raw_materials,Food & Beverage,Agricultural,2754362.62,zh
購買 LED 模組 元件 7142 個,1,raw_materials,Electronics,Electronic Components,6578854.07,zh
工業用 射出成型機 (1535 台) 含安裝,2,equipment,Manufacturing,Machinery,48732721.82,zh
購買 8753 輛 堆高機用於物流運營,2,equipment,Transportation,Vehicle,12886760.98,zh
總部大樓管理服務 (35 個月),1,services,Facility Management,Maintenance,283206.04,zh
設施維護服務 (annual),1,services,Facility Management,Maintenance,545402.11,zh
購買 鋁合金 1604 kg 供生產使用,1,raw_materials,Manufacturing,Metal,1693342.12,zh
財務諮詢服務 (annual),1,services,Professional Services,Consulting,1928775.64,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,420329.74,zh
購置 機械手臂 (industrial grade),2,equipment,IT Infrastructure,Hardware,3921557.64,zh
採購 4829 個 電阻用於組裝,1,raw_materials,Electronics,Electronic Components,1053581.24,zh
採購 5363 kg 鈦金屬用於製造,1,raw_materials,Manufacturing,Metal,2166681.37,zh
採購 氫氧化鈉 溶劑 2113 liters,1,raw_materials,Manufacturing,Chemical,905714.85,zh
財務諮詢服務 (12 months),1,services,Professional Services,Consulting,100822.79,zh
採購 硫酸 溶劑 1676 liters,1,raw_materials,Manufacturing,Chemical,1201224.91,zh
倉儲服務 (6515 平方公尺，quarterly),1,logistics,Logistics,Warehousing,1224021.44,zh
完整 automotive parts生產線安裝,2,equipment,Manufacturing,Production Line,41439567.11,zh
採購 6994 個 微晶片用於組裝,1,raw_materials,Electronics,Electronic Components,4086261.59,zh
購置 射出成型機 (industrial grade),2,equipment,IT Infrastructure,Hardware,7800036.04,zh
倉儲服務 (5431 平方公尺，12 months),1,logistics,Logistics,Warehousing,277739.29,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1263288.41,zh
採購 3167 tons 稻米作為食品原料,1,raw_materials,Food & Beverage,Agricultural,1672641.7,zh
新建 辦公大樓開發專案,2,equipment,Real Estate,Building,189229774.21,zh
工廠大樓管理服務 (12 個月),1,services,Facility Management,Maintenance,624170.2,zh
法律專業服務合約,1,services,Professional Services,Consulting,1434998.37,zh
聘請 永續顧問 (6 個月),1,services,Professional Services,Consulting,1480526.32,zh
輸送系統發電系統 - 5703 MW,2,equipment,Energy,Power Generation,39008537.17,zh
製造廠建築合約 (總部),2,equipment,Real Estate,Building,297179280.95,zh
購買 1524 輛 電動廂型車用於物流運營,2,equipment,Transportation,Vehicle,26188636.46,zh
區域辦公室第三方倉儲 - 4059 坪,1,logistics,Logistics,Warehousing,387606.72,zh
管理諮詢服務 (6 months),1,services,Professional Services,Consulting,1667428.99,zh
購買有機 糖 7165 tons,1,raw_materials,Food & Beverage,Agricultural,683416.83,zh
聘請 財務顧問 (25 個月),1,services,Professional Services,Consulting,246762.26,zh
電動廂型車採購 (industrial grade),2,equipment,Transportation,Vehicle,15769170.23,zh
不鏽鋼原料採購 - 5601 kg,1,raw_materials,Manufacturing,Metal,4552841.2,zh
購買工業用 丙酮 5583 liters,1,raw_materials,Manufacturing,Chemical,401827.65,zh
購買有機 玉米 5263 tons,1,raw_materials,Food & Beverage,Agricultural,1100126.49,zh
財務諮詢服務 (6 months),1,services,Professional Services,Consulting,1443983.57,zh
銅線原料採購 - 905 kg,1,raw_materials,Manufacturing,Metal,1511431.88,zh
購買有機 玉米 1955 tons,1,raw_materials,Food & Beverage,Agricultural,887592.03,zh
採購 氫氧化鈉 溶劑 1070 liters,1,raw_materials,Manufacturing,Chemical,954273.44,zh
IT 基礎設施升級 - 包裝機 (1304 台),2,equipment,IT Infrastructure,Hardware,6233634.94,zh
consumer goods製造產線 (產能 2004 件/日),2,equipment,Manufacturing,Production Line,55886931.2,zh
購買 電阻 元件 7211 個,1,raw_materials,Electronics,Electronic Components,5785334.63,zh
採購 氫氧化鈉 溶劑 9435 liters,1,raw_materials,Manufacturing,Chemical,1995919.08,zh
automotive parts製造產線 (產能 4700 件/日),2,equipment,Manufacturing,Production Line,73424287.59,zh
採購 丙酮 溶劑 2120 liters,1,raw_materials,Manufacturing,Chemical,5170.7,zh
採購 2631 tons 糖作為食品原料,1,raw_materials,Food & Beverage,Agricultural,519958.42,zh
鋁合金原料採購 - 4486 kg,1,raw_materials,Manufacturing,Metal,271552.13,zh
設施維護服務 (quarterly),1,services,Facility Management,Maintenance,1341524.28,zh
建造 製造廠 (18604 平方公尺),2,equipment,Real Estate,Building,294162458.1,zh
區域區域配送月度運輸服務,1,logistics,Logistics,Freight,1917069.62,zh
物流服務合約 - 跨境線 (12 months),1,logistics,Logistics,Freight,3412935.48,zh
購買 電容 元件 5123 個,1,raw_materials,Electronics,Electronic Components,4200079.38,zh
區域區域配送月度運輸服務,1,logistics,Logistics,Freight,271270.93,zh
採購 9125 台 輸送系統用於資料中心,2,equipment,IT Infrastructure,Hardware,5172642.96,zh
工廠大樓管理服務 (31 個月),1,services,Facility Management,Maintenance,1175930.7,zh
市區區域配送月度運輸服務,1,logistics,Logistics,Freight,292814.15,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1025241.4,zh
